show_id,show_type_id,title,country,date_added,release_year,rating,description,duration_minutes,duration_seasons
94,1,JJ+E,,"September 8, 2021",2021,TV-MA,"Elisabeth and John-John live in the same city, but they inhabit different worlds. Can a passionate first love break through class and cultural barriers?",91.0,
95,1,Show Dogs,"United Kingdom, United States","September 8, 2021",2018,PG,A rough and tough police dog must go undercover with an FBI agent as a prim and proper pet at a dog show to save a baby panda from an illegal sale.,90.0,
96,2,The Circle,"United States, United Kingdom","September 8, 2021",2021,TV-MA,"Status and strategy collide in this social experiment and competition show where online players flirt, befriend and catfish their way toward $100,000.",,3.0
97,1,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,United States,"September 7, 2021",2018,TV-MA,"Using interviews and archival footage, this documentary charts the story of the legendary Southern rockers with a focus on front man Ronnie Van Zant.",97.0,
98,2,Kid Cosmic,United States,"September 7, 2021",2021,TV-Y7,A boy's superhero dreams come true when he finds five powerful cosmic stones. But saving the day is harder than he imagined — and he can't do it alone.,,2.0
99,2,Octonauts: Above & Beyond,United Kingdom,"September 7, 2021",2021,TV-Y,"The Octonauts expand their exploration beyond the sea — and onto land! With new rides and new friends, they'll protect any habitats and animals at risk.",,
100,2,On the Verge,"France, United States","September 7, 2021",2021,TV-MA,"Four women — a chef, a single mom, an heiress and a job seeker — dig into love and work, with a generous side of midlife crises, in pre-pandemic LA.",,
101,2,Tobot Galaxy Detectives,,"September 7, 2021",2019,TV-Y7,"An intergalactic device transforms toy cars into robots: the Tobots! Working with friends to solve mysteries, they protect the world from evil.",,2.0
102,1,Untold: Breaking Point,United States,"September 7, 2021",2021,TV-MA,"Under pressure to continue a winning tradition in American tennis, Mardy Fish faced mental health challenges that changed his life on and off the court.",80.0,
103,2,Countdown: Inspiration4 Mission to Space,,"September 6, 2021",2021,TV-14,"From training to launch to landing, this all-access docuseries rides along with the Inspiration4 crew on the first all-civilian orbital space mission.",,
104,1,Shadow Parties,,"September 6, 2021",2020,TV-MA,A family faces destruction in a long-running conflict between communities that pits relatives against each other amid attacks and reprisals.,117.0,
105,2,Tayo the Little Bus,South Korea,"September 6, 2021",2016,TV-Y,"As they learn their routes around the busy city, Tayo and his little bus friends discover new sights and go on exciting adventures every day.",,2.0
106,1,Angamaly Diaries,India,"September 5, 2021",2017,TV-14,"After growing up amidst the gang wars of his hometown, Vincent forms an entrepreneurial squad of his own and ends up on the wrong side of the law.",128.0,
107,2,Bunk'd,United States,"September 5, 2021",2021,TV-G,"The Ross siblings of Disney's hit series ""Jessie"" spend a summer full of fun and adventure at Maine's Camp Kikiwaka, where their parents first met.",,5.0
108,1,A Champion Heart,United States,"September 4, 2021",2018,G,"When a grieving teen must work off her debt to a ranch, she cares for a wounded horse that teaches her more about healing than she expected.",90.0,
109,2,Dive Club,Australia,"September 3, 2021",2021,TV-G,"On the shores of Cape Mercy, a skillful group of teen divers investigate a series of secrets and signs after one of their own mysteriously goes missing.",,
110,2,La casa de papel,Spain,"September 3, 2021",2021,TV-MA,Eight thieves take hostages and lock themselves in the Royal Mint of Spain as a criminal mastermind manipulates the police to carry out his plan.,,5.0
111,2,Money Heist: From Tokyo to Berlin,,"September 3, 2021",2021,TV-MA,"The filmmakers and actors behind ""Money Heist"" characters like Tokyo and the Professor talk about the emotional artistic process of filming the series.",,
112,2,Sharkdog,"United States, Singapore","September 3, 2021",2021,TV-Y,"Half shark, half dog with a big heart and a belly full of fish sticks! Together, Sharkdog and his human pal Max can take on any silly or messy adventure.",,
113,1,Worth,,"September 3, 2021",2021,PG-13,"In the wake of the Sept. 11 attacks, a lawyer faces an emotional reckoning as he attempts to put a dollar value on the lives lost. Based on real events.",119.0,
114,1,Afterlife of the Party,,"September 2, 2021",2021,TV-PG,Cassie lives to party... until she dies in a freak accident. Now this social butterfly needs to right her wrongs on Earth if she wants to earn her wings.,110.0,
115,1,Anjaam,India,"September 2, 2021",1994,TV-14,"A wealthy industrialist’s dangerous obsession with a flight attendant destroys her world, until she takes matters into her own hands to exact revenge.",143.0,
116,1,Bright Star,"United Kingdom, Australia, France","September 2, 2021",2009,PG,This drama details the passionate three-year romance between Romantic poet John Keats – who died tragically at age 25 – and his great love and muse.,119.0,
117,1,Dhanak,India,"September 2, 2021",2015,TV-PG,A movie-loving 10-year-old and her blind little brother trek to meet Indian superstar Shah Rukh Khan for help in getting the boy an eye operation.,114.0,
118,1,Final Account,"United Kingdom, United States","September 2, 2021",2021,PG-13,This documentary stitches together never-before-seen interviews with the last living generation of people who participated in Hitler's Third Reich.,94.0,
119,1,Gurgaon,India,"September 2, 2021",2017,TV-14,"When the daughter of a wealthy family returns from college, she gets a frosty welcome from her brother, who has problems – and plans – of his own.",106.0,
120,1,Here and There,,"September 2, 2021",2020,TV-MA,"After meeting through a heated exchange on social media, two people with different backgrounds begin an online romance in the midst of a pandemic.",99.0,
121,2,Heroes of Goo Jit Zu,Australia,"September 2, 2021",2021,TV-Y7,"After a meteor crash, a group of zoo animals transforms into squishy, gooey and stretchy superheroes with special powers and soon takes on evildoers.",,
122,2,Hotel Del Luna,,"September 2, 2021",2019,TV-14,"When he's invited to manage a hotel for dead souls, an elite hotelier gets to know the establishment's ancient owner and her strange world.",,
123,1,In the Cut,"United Kingdom, Australia, France, United States","September 2, 2021",2003,R,"After embarking on an affair with the cop probing the murder of a young woman, an insular schoolteacher suspects her lover was involved in the crime.",118.0,
124,2,Luv Kushh,,"September 2, 2021",2012,TV-Y7,"Based on the last book of the epic Ramayana, this series follows the endeavors and adventures of Lord Rama’s twin sons through their childhood.",,
125,2,Pororo - The Little Penguin,South Korea,"September 2, 2021",2013,TV-Y7,"On a tiny island, Pororo the penguin has fun adventures with his friends Eddy the fox, Loopy the beaver, Poby the polar bear and Crong the dinosaur.",,3.0
126,2,Q-Force,United States,"September 2, 2021",2021,TV-MA,"A gay superspy and his scrappy LGBTQ squad fight to prove themselves to the agency that underestimated them. Today, West Hollywood… tomorrow, the world!",,
127,1,Shikara,India,"September 2, 2021",2020,TV-14,A couple must strive to remain resilient after regional hostilities drive them from their beloved home into a refugee camp.,115.0,
128,1,A Cinderella Story,"United States, Canada","September 1, 2021",2004,PG,Teen Sam meets the boy of her dreams at a dance before returning to toil in her stepmother's diner. Can her lost cell phone bring them together?,95.0,
129,1,Agatha Christie's Crooked House,,"September 1, 2021",2017,PG-13,"When a detective investigates the death of his ex-lover's grandfather, he uncovers secrets about the tycoon's manipulative family.",115.0,
130,1,An Unfinished Life,"Germany, United States","September 1, 2021",2005,PG-13,"A grieving widow and her daughter move in with her estranged father-in-law in Wyoming, where time allows them to heal and forgive.",108.0,
131,1,Barbie Big City Big Dreams,,"September 1, 2021",2021,TV-Y,"At a summer performing arts program in New York City, Barbie from Malibu meets Barbie from Brooklyn, and the two become fast friends.",63.0,
132,1,Blade Runner: The Final Cut,United States,"September 1, 2021",1982,R,"In a smog-choked dystopian Los Angeles, blade runner Rick Deckard is called out of retirement to snuff a quartet of escaped ""replicants.""",117.0,
133,2,Brave Animated Series,,"September 1, 2021",2021,TV-MA,A group of superheroes sets out to rid the world of evil — only to realize they may not be standing on the side of justice. Based on a popular comic.,,
134,1,Chappie,"South Africa, United States","September 1, 2021",2015,R,"In a futuristic society where an indestructible robot police force keeps crime at bay, a lone droid evolves to the next level of artificial intelligence.",121.0,
135,1,Clear and Present Danger,"United States, Mexico","September 1, 2021",1994,PG-13,"When the president's friend is murdered, CIA Deputy Director Jack Ryan becomes unwittingly involved in an illegal war against a Colombian drug cartel.",142.0,
136,1,Cliffhanger,"United States, Italy, France, Japan","September 1, 2021",1993,R,"Ranger Gabe Walker and his partner are called to rescue a group of stranded climbers, only to learn the climbers are actually thieving hijackers.",113.0,
137,1,Cold Mountain,"United States, Italy, Romania, United Kingdom","September 1, 2021",2003,R,"This drama follows a wounded Civil War soldier making the long journey home, while his faraway love fights for survival on her deceased father's farm.",154.0,
138,1,Crocodile Dundee in Los Angeles,"Australia, United States","September 1, 2021",2001,PG,"When Mick ""Crocodile"" Dundee and his family land in Los Angeles, they soon learn some lessons about American life in this comedy sequel.",95.0,
139,1,Dear John,United States,"September 1, 2021",2010,PG-13,"While on summer leave, a U.S. soldier falls for a college student. But when he's forced to reenlist, their handwritten letters hold the lovers together.",108.0,
140,1,Do the Right Thing,United States,"September 1, 2021",1989,R,"On a sweltering day in Brooklyn, simmering racial tensions between residents rise to the surface and ignite rage, violence and tragedy.",120.0,
141,1,"El patrón, radiografía de un crimen","Argentina, Venezuela","September 1, 2021",2014,TV-MA,A lawyer defends an illiterate man whose exploitation by a cruel boss while working as a butcher in Buenos Aires led to tragedy. Based on a true case.,100.0,
142,1,Extraction,"United States, United Kingdom, Canada","September 1, 2021",2015,R,"When a retired CIA agent is kidnapped, his son, a government analyst, embarks on an unauthorized mission to find him and halt a terrorist plot.",82.0,
143,1,Freedom Writers,"Germany, United States","September 1, 2021",2007,PG-13,"While her at-risk students are reading classics such as ""The Diary of Anne Frank,"" a teacher asks them to keep journals about their troubled lives.",124.0,
144,1,Green Lantern,United States,"September 1, 2021",2011,PG-13,Test pilot Hal Jordan harnesses glowing new powers for good when he wears an otherworldly ring and helps an intergalactic force stop a powerful threat.,114.0,
145,1,House Party,United States,"September 1, 2021",1990,R,"Grounded by his strict father, Kid risks life and limb to go to his best friend Play's big bash but experiences one obstacle after another.",104.0,
146,1,House Party 2,United States,"September 1, 2021",1991,R,"Kid goes off to college with scholarship money but when Play loses Kid's tuition funds to a shady music promoter, they devise a wild plan to raise cash.",94.0,
147,1,House Party 3,United States,"September 1, 2021",1994,R,"After Kid gets engaged, Play plans to throw the biggest bachelor party ever. But every celebration for these two always comes with complications.",94.0,
148,2,How to Be a Cowboy,,"September 1, 2021",2021,TV-PG,"Dale Brisby uses social media savvy and rodeo skills to keep cowboy traditions alive — and now he's teaching the world how to cowboy right, ol' son.",,
149,2,HQ Barbers,,"September 1, 2021",2020,TV-14,"When a family run barber shop in the heart of Lagos is threatened by real estate developers, they'll do whatever it takes to stay in business.",,
150,1,I Got the Hook Up,United States,"September 1, 2021",1998,R,"After getting their hands on a misdirected shipment of cell phones, two hustlers try to cash in by hawking the merchandise from the back of their van.",93.0,
151,1,In Too Deep,United States,"September 1, 2021",1999,R,"Rookie cop Jeffrey Cole poses as a drug dealer to take down a crime lord and soon gets caught up in an underworld of bribery, intimidation and murder.",97.0,
152,1,Initial D,"China, Hong Kong","September 1, 2021",2005,TV-14,"By day, an 18-year-old delivers tofu for his father, a retired race car driver; but by night, it's the teen's turn to take the wheel.",109.0,
153,1,Janoskians: Untold and Untrue,United States,"September 1, 2021",2016,TV-MA,Follow the story of three Australian brothers and their two friends who became an international sensation by posting pranks and gags on YouTube.,88.0,
